date,temp_max,temp_min,wind,humidity,solar_rad,rain
2021-12-29,40.9,21.08,4.66,17,26.45,0
2021-12-30,40.77,21.01,4.06,20,26.39,0
2021-12-31,41.83,21.23,2.53,20,26.93,0
2022-01-01,40.7,22.64,4.49,39,25.2,0.8
2022-01-02,42.61,19.06,3.34,51,28.76,0.1
2022-01-03,40.62,21.71,3.0,51,25.75,2.75
2022-01-04,37.11,20.56,3.27,58,24.06,1.37
2022-01-05,33.09,17.97,5.88,37,22.98,0
2022-01-06,33.35,13.6,4.67,34,26.23,0
2022-01-07,35.05,15.94,4.44,38,25.78,0
2022-01-08,34.87,17.08,5.01,36,24.84,0
2022-01-09,37.55,18.52,5.08,33,25.66,0
2022-01-10,39.25,19.57,2.97,30,26.06,0
2022-01-11,41.99,21.53,2.81,19,26.53,0
2022-01-12,43.22,22.6,3.06,18,26.6,0
2022-01-13,43.55,21.69,3.8,26,27.34,0
2022-01-14,43.5,23.56,5.11,20,26.07,0
2022-01-15,40.29,27.74,5.04,36,20.65,1.33
2022-01-16,40.94,23.48,5.3,50,24.31,6.09
2022-01-17,38.76,22.71,3.94,68,23.27,2.09
2022-01-18,25.53,21.52,4.22,91,11.61,60.96
2022-01-19,30.09,21.05,3.95,84,17.39,0
2022-01-20,37.92,22.88,4.02,66,22.38,0
2022-01-21,40.34,24.92,4.54,44,22.62,1.48
2022-01-22,41.41,26.74,4.56,39,22.01,0
2022-01-23,35.03,24.01,4.01,59,19.03,5.39
2022-01-24,30.83,21.49,2.65,74,17.48,2.19
2022-01-25,29.64,22.81,3.84,80,14.91,0
