date,temp_max,temp_min,wind,humidity,solar_rad,rain
2021-09-14,17.19,9.32,5.78,69,11.4,0.36
2021-09-15,18.53,5.8,1.64,54,14.62,0
2021-09-16,20.84,7.18,2.64,61,15.26,0
2021-09-17,22.27,8.66,3.4,74,15.35,0
2021-09-18,24.28,12.37,3.31,80,14.47,0
2021-09-19,21.73,12.79,4.1,89,12.64,1.81
2021-09-20,20.6,14.1,5.45,91,10.86,0
2021-09-22,19.19,6.13,4.32,79,15.62,0.25
2021-09-23,20.32,11.47,3.25,79,12.95,6.38
2021-09-24,21.38,10,2.98,77,14.79,0
2021-09-25,21.54,9.02,3.08,75,15.63,0
2021-09-26,24.69,10.65,2.97,75,16.67,0
2021-09-27,27.29,13.01,3.47,70,16.93,0
2021-09-28,20.13,14.27,4.21,88,10.92,0.11
2021-09-29,22.64,11.26,5.4,79,15.32,0
2021-09-30,19.76,14.68,4.16,92,10.3,11.09
2021-10-01,22.42,11.47,5.17,70,15.23,0
2021-10-02,24.53,9.06,4.12,65,18.22,0
2021-10-03,16.31,8.32,5.29,58,13.18,0
2021-10-04,20.09,5.77,2.01,55,17.76,0
2021-10-05,22.06,7.29,3.84,57,18.15,0
2021-10-06,23.51,9.99,4.63,64,17.47,0
2021-10-07,18.14,5.04,4.04,65,17.31,0
2021-10-08,20.91,6.54,4.57,64,18.23,0
2021-10-09,23.98,8.16,4.96,68,19.25,0
2021-10-10,18.53,12.38,3.88,91,12.07,6.22
2021-10-11,20.74,13.45,4.17,87,13.22,3.11
2021-10-12,25.34,11.17,2.33,75,18.53,0
2021-10-13,17.7,15.25,3.33,88,7.75,12.64
2021-10-14,26.06,12.65,2.67,77,18.23,0.78
2021-10-15,19.37,10.03,6.65,55,15.3,0
2021-10-16,19.12,4.66,3.5,58,19.13,0
2021-10-17,21.93,6.18,2.84,57,20.07,0
2021-10-18,24.72,9.1,2.23,59,20.09,0
2021-10-19,26.29,11.07,2.7,64,19.94,0
2021-10-20,26.1,11.79,3.84,61,19.43,0
2021-10-21,27.54,12.46,3.5,60,20.04,0
2021-10-22,28.46,12.52,4.05,54,20.7,0
2021-10-23,19.98,13.37,3.62,82,13.39,12.07
2021-10-24,25.47,8.36,3.14,56,21.65,0
2021-10-25,31.62,12.12,5.31,37,23.22,0
2021-10-26,34.61,15.16,4.47,40,23.29,0
2021-10-27,33.63,16.99,4.46,46,21.63,0
2021-10-28,34.42,18.5,4.94,48,21.25,0
2021-10-29,32.9,14.9,4.5,56,22.69,0
2021-10-30,33.87,17.53,4.19,60,21.71,0
2021-10-31,32.79,18.26,4.25,62,20.55,0
2021-11-01,29.03,16.88,5.15,78,18.87,7.4
2021-11-02,25.18,17.82,3.44,86,14.74,3.33
2021-11-03,30.2,17.46,2.85,75,19.47,0
2021-11-04,32.02,16.49,3.1,65,21.57,0
2021-11-05,19.7,12.28,6.38,86,14.96,2.0
2021-11-06,25.34,13.33,4.99,57,19.1,0
2021-11-07,27.23,11.01,3.52,60,22.28,0
2021-11-08,30.31,12.76,3.13,54,23.25,0
2021-11-09,31.69,13.83,4.04,49,23.53,0
2021-11-10,27.87,15.69,4.86,56,19.49,0
2021-11-11,28.81,11.93,5.88,50,23.02,0
2021-11-12,29.1,10.5,6.13,51,24.23,0
2021-11-13,35.43,12.48,5.63,50,27.0,0
2021-11-14,28.52,17.48,3.35,73,18.78,18.27
2021-11-15,33.23,16.11,3.48,63,23.45,0
2021-11-16,25.53,15.8,6.25,71,17.72,0
2021-11-17,23.71,11.43,4.54,42,19.96,0
2021-11-18,26.87,8.17,2.79,39,24.7,0
2021-11-19,33.29,12.17,2.74,33,26.31,0
2021-11-20,35.62,15.81,3.38,30,25.54,0
2021-11-21,38.38,18.58,4.43,27,25.59,0
2021-11-22,39.44,18.8,4.79,24,26.19,0
2021-11-23,33.16,16.04,5.74,31,23.9,0
2021-11-24,38.28,13.31,4.86,26,28.93,0
2021-11-25,26.17,16.19,5.82,67,18.32,16.95
2021-11-26,32.31,14.58,5.14,54,24.47,0
2021-11-27,32.76,14.64,4.34,46,24.78,0
2021-11-28,21.51,15.32,3.95,87,14.51,15.83
2021-11-29,28.69,15.42,6.08,62,21.28,0
2021-11-30,30.48,14.49,4.35,45,23.4,0
2021-12-01,30.24,12.29,3.64,46,24.83,0
2021-12-02,30.84,13.85,4.11,53,24.19,0
2021-12-03,32.23,12.77,4.58,48,25.92,0
2021-12-04,32.74,16.43,4.97,45,23.76,0
2021-12-05,31.52,17.54,3.99,54,22.03,0
2021-12-06,32.94,17,4.71,51,23.55,0
2021-12-07,34.35,15.54,5.44,41,25.61,0
2021-12-08,35.88,14.49,4.87,37,27.34,0
2021-12-09,35.62,15.56,4.66,36,26.5,0
2021-12-10,29.79,16.77,3.58,50,21.37,0
2021-12-11,35.41,17.44,2.52,33,25.12,0
2021-12-12,35.83,20.17,3.7,39,23.47,0
2021-12-13,23.7,18.6,3.38,80,13.4,1.44
2021-12-14,35.06,18.08,4.77,64,24.47,0
2021-12-15,35.48,16.81,4.28,53,25.67,0.35
2021-12-16,33.54,15.84,5.12,51,25.01,0
2021-12-17,35.13,14.94,5.03,43,26.72,0
2021-12-18,37.04,15.03,5.29,41,27.91,0
2021-12-19,39.94,16.9,3.48,39,28.56,0
2021-12-20,40.85,20.7,4.06,33,26.71,0
2021-12-21,39.68,18.95,5.37,43,27.1,1.05
2021-12-22,37.07,18.43,4.33,39,25.69,0
2021-12-23,36.39,16.73,3.8,30,26.39,0
2021-12-24,38.2,18.05,2.53,27,26.71,0
2021-12-25,39.6,20.69,4.22,24,25.87,0
2021-12-26,37.52,16.36,3.95,30,27.36,0
2021-12-27,40.14,20.36,3.87,19,26.44,0
2021-12-28,40.71,18.93,3.29,19,27.74,0
