date,temp_max,temp_min,wind,humidity,solar_rad,rain
2021-01-07,37.2,17.76,2.06,53,26.0,0
2021-01-08,40.05,20.05,1.97,37,26.34,0
2021-01-09,36.62,19.2,1.5,58,24.55,0
2021-01-10,41.34,19.58,1.97,58,27.4,0
2021-01-11,32.17,20.54,1.75,95,20.0,33.27
2021-01-12,30.58,17.06,1.67,76,21.54,0
2021-01-13,32.84,16.13,2.03,60,23.91,0
2021-01-14,33.22,15.23,2.92,57,24.76,0
2021-01-15,30.18,20,1.72,86,18.6,11.86
2021-01-16,33.85,20.22,1.47,86,21.48,0.19
2021-01-17,30.37,17.75,2.69,68,20.63,0
2021-01-18,32.22,14.64,0.69,61,24.3,0
2021-01-19,34.13,16.5,1.31,57,24.29,0
2021-01-20,35.46,17,1.94,53,24.8,0
2021-01-21,35.33,16.52,6.57,20,24.98,0
2021-01-22,36.41,18.17,5.6,35,24.54,0
2021-01-23,37.51,21.86,5.5,31,22.68,0
2021-01-24,38.14,23.23,4.61,28,22.08,0
2021-01-25,37.93,21.54,4.22,23,23.1,0
2021-01-26,36.42,23.24,5.15,34,20.66,0
